T,pH,a_H2O,a_CO2,a_CO2factor
0,11.5,0.99831,5.26E-09,0.477747502
10,11.24494848,0.998311128,9.75826E-09,0.561142005
20,11.0157682,0.998312598,1.79981E-08,0.647878258
30,10.80671366,0.998314494,3.28193E-08,0.718461874
40,10.61649979,0.99831678,5.8988E-08,0.773612613
50,10.44366939,0.998319429,1.04332E-07,0.815733501
60,10.28669106,0.998322423,1.81457E-07,0.847532237
70,10.14402189,0.998325752,3.10271E-07,0.87252885
80,10.01415178,0.998329413,5.21662E-07,0.890967738
90,9.895639017,0.998333413,8.62719E-07,0.904981531
100,9.787141844,0.998337768,1.40408E-06,0.915304108
110,9.687447868,0.998342501,2.25004E-06,0.923662993
120,9.595500542,0.998347645,3.55239E-06,0.929458944
130,9.510420592,0.998353246,5.52886E-06,0.933771136
140,9.431519346,0.99835936,8.4876E-06,0.936614127
150,9.358301358,0.998366057,1.2859E-05,0.939302162
160,9.290455402,0.998373425,1.92368E-05,0.938381821
170,9.227835468,0.99838157,2.84294E-05,0.937335158
180,9.170435558,0.998390622,4.1524E-05,0.935225469
190,9.118362839,0.998400743,5.9965E-05,0.931277935
200,9.07181264,0.99841213,8.56469E-05,0.925411878